phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.2,834.0143526215846,2.3835064648037156e-14,1.735632608947888e-18,1.5182006464780429e-13,0.1646069600864431,1.4235316372929263e-09,0.041152274856849504,2.072040585888449e-11,3.7300732285284576e-12,3.5872367308913565e-63,9.675012107741365e-65,1.1408135583534285e-61,2.5235632071994846e-64,1.0217069329485156e-56,9.349305897914133e-54,3.535830793844681e-15,0.020576137791347242,1.0694888260750927e-33,5.328584677817564e-35,8.599679087460074e-50,1.0703320473264073e-52,7.074169708893682e-49,3.8631109434660223e-87,5.3665656760014974e-77,3.0353815429469236e-90,5.728328844065521e-86,5.306243552763839e-99,1.1394977261484932e-97,6.871135207920222e-67,1.958921706135162e-63,1.5303229864057333e-71,2.9387754958423804e-27,6.75130317607595e-29,3.0164612347442366e-28,6.971585399612701e-24,4.314935108120705e-25,3.0960304374284444e-06,5.936989649468409e-07,3.134814680971829e-10,4.8989897480407076e-17,1.310787908885724e-48,1.1086910849854728e-39,3.1782264776528905e-56,6.149431246599087e-63,7.778814790709955e-46,1.8176417390090232e-34,7.307742057539741e-28,1.379769380158954e-33,0.7736609357743149,0.0,2.6215971525660545e-142,6.23159451879698e-141,4.622833738245659e-77,1.0127469188253142e-75
0.3,1066.2525262356726,9.029100187510492e-11,1.1367002215012176e-13,3.925853897799468e-10,0.14253945684033967,2.7478680308661593e-07,0.061099698502407845,1.4755238044119515e-09,1.4500350182043463e-10,9.657452209651986e-48,3.3847839755481133e-49,3.532774115112151e-47,2.477869691132127e-49,7.775474935633892e-44,3.435979196705077e-42,4.0684955147961285e-11,0.030549918393757963,8.371931051630934e-26,1.9557613513051748e-27,3.7500039772012546e-39,1.1157538282518865e-41,4.3697643775894204e-39,2.1300287370735886e-66,4.09549138668843e-59,1.114738674827344e-69,4.7405102362758055e-67,1.9781536251568127e-77,3.989483825151089e-77,1.6677427983650328e-51,2.233578348891909e-49,1.005870417010913e-55,9.175390415978421e-21,3.044629217578222e-22,4.1359948142269638e-22,2.906019207290654e-19,6.193052040324221e-20,5.0594619875173954e-05,1.4599302096135479e-06,3.878105676256538e-09,7.008997628786791e-14,5.111735021545553e-37,1.6186325193814024e-30,9.798928410842969e-44,3.144313860323131e-49,3.821524414225045e-36,2.651692041291969e-27,3.9265744950994886e-22,3.412545070821251e-26,0.7657585909042287,0.0,7.514921057448684e-112,1.5841507720079395e-111,2.763518581985082e-60,8.005101504807512e-60
0.4,1280.7712601574208,1.4240032019573364e-08,9.674905565614738e-11,4.32313485715625e-08,0.12083331225704215,6.547938869612272e-06,0.08064182273450543,1.852486694312217e-08,1.332692387063093e-09,2.086456190542974e-38,8.893312937451935e-40,2.249045276662842e-38,3.1542129881735057e-40,5.60474588438959e-36,4.2226517454598637e-35,1.200315674907963e-08,0.04032254879197676,5.2571018891204e-21,8.179263097279933e-23,1.17029654875726e-32,5.895207414571887e-35,4.390594713616651e-33,8.475665193072587e-54,3.27396348924553e-48,3.806777512166592e-57,1.7394517660032887e-55,3.0045589090869134e-64,1.540011823541896e-64,3.8131521367680684e-42,8.562587366891038e-41,4.477639382017404e-46,7.518156864929828e-17,3.217786373272108e-18,2.226305080575792e-18,2.0005555865353604e-16,8.226144904662015e-17,0.0002607405972037682,2.331197728282622e-06,1.7232050143919508e-08,5.589222560595153e-12,5.323847259365412e-30,6.216440455198429e-25,3.951309199214292e-36,6.647968550077377e-41,2.9742509002207875e-30,6.102008945776727e-23,1.2567822947237471e-18,1.042397369025325e-21,0.7579325898161886,0.0,3.1844266343059706e-93,1.6496701669453675e-93,4.784215358122357e-50,4.327117996261623e-50
0.5,1480.1843573182728,4.576811711568907e-07,9.358239386733233e-09,9.729561022777601e-07,0.09940836832265615,5.440898653006677e-05,0.09977137187829235,9.616424824689928e-08,5.858058656639384e-09,4.1536068690522654e-32,2.0899857769564952e-33,2.1174742647864132e-32,4.722756453839166e-34,1.2820695708296192e-30,3.10583026717426e-30,5.730982382753105e-07,0.04989897326403472,9.489125484766696e-18,1.1745128344994375e-19,3.1449212296324633e-28,2.2623100241875482e-30,5.752250619698104e-29,3.012870150187183e-45,8.865405664178862e-41,1.320905858208565e-48,1.4165718326057083e-47,3.0824274157395565e-55,6.607335305200761e-56,8.74796610423646e-36,6.220107839741459e-35,1.693099091675788e-39,3.164498244375975e-14,1.6561758763250281e-15,7.569773180564185e-16,1.785541284543824e-14,1.0562595441697196e-14,0.0007482290577677993,2.941125046399848e-06,4.534820404043712e-08,1.0496137535277625e-10,2.946380143144646e-25,3.962256892249542e-21,5.916445774891809e-31,2.9259917767013605e-35,2.945211759900599e-26,5.646220209254027e-20,3.129460503957076e-16,1.129146301361714e-18,0.7501135467963864,0.0,1.7697470891711226e-80,3.749706415053988e-81,4.6284544397318225e-43,2.009820432612273e-43
0.6,1665.9477483103983,5.921715790376995e-06,2.588589035133988e-07,8.64723465656648e-06,0.07822872792048238,0.0002441787949948223,0.11844027164867178,2.935999416235117e-07,1.651434905933172e-08,1.5162029638326214e-27,8.900414193566382e-29,4.8429686625925875e-28,1.5061678051532546e-29,1.1095221826372645e-26,1.2508540632083193e-26,9.707609728776988e-06,0.05927458035623578,2.2550727013644265e-15,2.4694997827315646e-17,5.598227750663786e-25,5.217631396705697e-27,6.370436379953507e-26,5.27480697135872e-39,2.552944401524147e-35,2.4493189681940115e-42,9.700220856764095e-42,1.3461427930431497e-48,1.6127514154377193e-49,3.920361582829018e-31,1.2766442271713629e-30,1.1384175253896617e-34,2.40790068889273e-12,1.5024617905739126e-13,5.294356578381966e-14,4.979544286353322e-13,3.5460016506328723e-13,0.0015121546232029224,3.1510025682556913e-06,8.689111764144485e-08,8.503132234529253e-10,8.213005165427706e-22,2.453996908934489e-18,3.650127548794813e-27,3.7800762009779377e-31,2.3934117458179542e-23,8.333021635839065e-18,1.8139746743166027e-14,1.8059932676294388e-16,0.742272002375559,0.0,4.46298198348334e-71,5.202433471342879e-72,6.295301839958746e-38,1.686866178432836e-38
0.7,1838.6195726847366,4.368477904643141e-05,3.252726377113709e-06,4.165265300657696e-05,0.05735429433304873,0.0007317355165823672,0.13653782371685003,6.186932976734952e-07,3.4213860372948335e-08,4.541590088262981e-24,3.1158735043475374e-25,1.1062840234961362e-24,4.413335705694016e-26,1.2808978659500455e-23,8.568042921334709e-24,8.682504605003398e-05,0.06838784904764049,1.5196880087899426e-13,1.588063959719435e-15,1.8564730678675972e-22,2.1076316711789153e-24,1.547781262488408e-23,3.4506504931586644e-34,4.51516690999467e-31,1.8175316119573395e-37,3.5734788160885282e-37,2.0696504329311935e-43,1.679223036260768e-44,1.5420341903225091e-27,2.9297877916603735e-27,6.373042196985683e-31,6.17375773841617e-11,4.5630454359781846e-12,1.3797184672744275e-12,6.80601838749955e-12,5.117962163773887e-12,0.002394256717966396,2.914372892367506e-06,1.330069048255027e-07,3.9877279282558114e-09,3.5743364458226453e-19,3.627220711390083e-16,3.1426666243692005e-24,5.440011360400438e-28,4.074881293129908e-21,3.9359172981665333e-16,4.27406039210112e-13,8.722608536201176e-15,0.7344149211085539,0.0,1.0105840098527255e-63,7.88605166140853e-65,6.201108616602148e-34,1.2120284218725256e-34
0.8,1996.8870240525284,0.00022513622185385389,2.3904965224191505e-05,0.00012572874903447821,0.03709301229031153,0.001619855810572059,0.15385881545685406,9.488904509312857e-07,5.482202464846044e-08,2.540177100204657e-21,2.076124824779168e-22,5.610132112714038e-22,2.707934827014565e-23,4.087698920821319e-21,1.9543490876137565e-21,0.0005141607280218291,0.076939023134775,4.463660374841901e-12,4.772480754912858e-14,2.06890954529607e-20,2.7393168910912193e-22,1.4413536440680787e-21,2.6557439937908464e-30,1.353156533912066e-27,1.723410925779964e-33,2.1039567543732098e-33,3.845326358647135e-39,2.4571146353147885e-40,1.2493218263904984e-24,1.667858957035088e-24,7.194934617927041e-28,7.386475872323291e-10,6.556172842283531e-11,1.8658375695448858e-11,5.949447648422372e-11,4.1615650715025207e-11,0.0030765947275672254,2.252937228495513e-06,1.672422842944159e-07,1.2491003043021943e-08,4.5605080175708346e-17,2.1495685080385962e-14,7.5823711133958825e-22,1.8395667954948204e-25,2.4418407354513817e-19,8.812969081463718e-15,5.6387019568048495e-12,1.8832999560171132e-13,0.7265203305984479,0.0,1.1808045092026277e-57,7.194523483696051e-59,1.1380056059627669e-30,1.8543084261677936e-31
0.9000000000000001,2134.237920745081,0.0009339030982625156,0.00011742654066421,0.00023879007820965353,0.018473961225448567,0.002687186233079364,0.1699745166868758,9.949029617805324e-07,6.557153913735373e-08,4.1583141891261134e-19,4.275343452963778e-20,1.0375899626174219e-19,5.775874855587743e-21,5.912788101403165e-19,2.4403214469080316e-19,0.0023276077549246434,0.08382804405039017,7.38902321387297e-11,8.88599448461319e-13,1.1327046208178314e-18,1.6862180930756144e-20,7.627499012893245e-20,4.9296743126642845e-27,1.370563093093687e-24,4.5549196646841945e-30,4.306328396039281e-30,2.051841129463177e-35,1.2130295638318993e-36,3.572954912111694e-22,4.0520645420089347e-22,2.9221682778464824e-25,4.7238567498702e-09,5.297875532470199e-10,1.5909792112936436e-10,4.0436237154677434e-10,2.194904760440725e-10,0.0030770205362390494,1.2819087478653109e-06,1.6492314353678444e-07,2.693729961870346e-08,2.4671593138217196e-15,7.246531080781202e-13,8.061030081001187e-20,2.2799477505751703e-23,6.903303971065496e-18,1.1904102680822528e-13,5.1383561323694904e-11,2.2471386454186324e-12,0.7183390033863631,0.0,2.4631076692756934e-52,1.3798522772639637e-53,7.324238502693875e-28,1.1522657547061682e-28
1.0,2225.5245834770026,0.0036045255136113305,0.000390346872835523,0.00021565877694276842,0.004622237223344224,0.002875407485003845,0.18346659345859426,4.989233204152956e-07,4.5732488554721274e-08,2.2178095205044438e-17,3.3615347128353755e-18,9.827346325814409e-18,5.956344723566881e-19,6.223564337279208e-17,3.0329723111245845e-17,0.008987939083208718,0.08536421734727699,7.949764317919283e-10,1.3194993200134233e-11,4.114098610317806e-17,6.575072172306045e-19,3.4929105993442525e-18,3.6711267188485465e-24,9.146744099234752e-22,6.921522960091316e-27,7.230036522502505e-27,7.843631895971695e-32,5.6971615174061886e-33,5.3664644672276076e-20,7.105979894493179e-20,6.968485967084704e-23,1.4245388908932858e-08,2.3597344147135147e-09,9.409151776239408e-10,2.6865077324572807e-09,7.555846436249077e-10,0.001888205758403629,3.4628216609830836e-07,1.0018737257296679e-07,3.3663500002551206e-08,6.774012806443836e-14,1.9306510359779688e-11,5.4774426534952945e-18,1.3166521853208056e-21,1.0202088043443738e-16,1.131155669407133e-12,3.8646220948171794e-10,1.543840176572004e-11,0.7085838214732226,0.0,3.540964399458419e-47,2.4283769432304952e-48,2.9528689969545367e-25,5.854759655790016e-26
1.0999999999999999,2210.3832621978736,0.012388446311025019,0.0006651718945817341,5.372656938159948e-05,0.0003466641933604937,0.0014401149591591017,0.18954026388550244,6.914748761174048e-08,1.2418588815817458e-08,1.7286034525665432e-16,5.08582105998526e-17,2.98116443398631e-16,1.7824218731484036e-17,3.834213117373375e-15,3.757779871906522e-15,0.02614653968188183,0.07534417544482043,4.053975997984597e-09,1.319938728974242e-10,7.366413141747036e-16,1.1639065495962509e-17,1.2447441412735575e-16,5.709365513185092e-22,2.9903351326541534e-19,4.097153962928573e-24,8.699838392232643e-24,1.7088529110163847e-28,2.480569348192612e-29,2.6436130428250674e-18,7.053159443818926e-18,6.584125653383092e-21,1.1796738703150985e-08,3.792178971830374e-09,2.9847002171855262e-09,1.727770005724204e-08,1.2505489521685012e-09,0.0004945833248065141,2.53523583191146e-08,2.5974150494422263e-08,1.625121754383397e-08,5.803351477910505e-13,3.4329241300628324e-10,1.7316701751310868e-16,2.0440314384527928e-20,4.886226863709834e-16,5.815042771515445e-12,2.0624275781113546e-09,4.046888912381796e-11,0.6935801208512473,0.0,2.7128636482652285e-42,3.72028571469691e-43,5.298415938401387e-23,2.0909512572789915e-23
